Year,Municipality,Population,Mortality_per_1000,Infant_mortality_per_1000,Births_per_1000,Unemployed_total,Average_income,Pharmacies_total,Total_crimes,Marriages_per_1000,Divorces_per_1000
2024.0,Fafe,48420.0,11.0,0.0,6.6,1890.0,1065.0,9.0,1281.0,3.7,1.5
2024.0,Faro,70347.0,10.7,1.7,8.3,1812.0,1375.8,17.0,3500.0,2.4,1.6
2024.0,Felgueiras,55223.0,7.9,5.1,7.1,2381.0,1096.3,12.0,1424.0,3.3,1.4
2024.0,Ferreira Do Alentejo,7902.0,21.5,0.0,7.5,309.0,1230.3,6.0,387.0,5.1,1.3
2024.0,Ferreira Do Zezere,8115.0,13.4,0.0,5.0,109.0,1158.4,4.0,188.0,3.3,1.3
2024.0,Figueira Da Foz,61397.0,13.4,0.0,6.8,2338.0,1395.5,24.0,1579.0,4.1,1.7
2024.0,Figueira De Castelo Rodrigo,5021.0,21.5,0.0,5.6,138.0,1036.3,3.0,211.0,1.2,2.4
2024.0,Figueiro Dos Vinhos,5325.0,14.7,0.0,5.5,159.0,1077.2,6.0,109.0,2.3,1.0
2024.0,Fornos De Algodres,4400.0,18.0,87.0,5.2,118.0,1011.3,2.0,121.0,2.5,0.2
2024.0,Freixo De Espada A Cinta,3058.0,30.7,55.6,5.8,157.0,1050.9,1.0,126.0,1.9,0.6
2024.0,Fronteira,2974.0,21.2,0.0,5.0,85.0,1111.3,3.0,69.0,7.1,1.4
2024.0,Funchal,108129.0,10.8,1.4,6.5,,1377.8,28.0,3551.0,4.8,2.0
2024.0,Fundao,27285.0,15.7,0.0,6.2,682.0,1186.9,10.0,1159.0,3.7,1.4
2024.0,Gaviao,3263.0,34.9,0.0,3.9,79.0,1252.5,4.0,105.0,3.9,0.0
2024.0,Gois,3822.0,21.5,0.0,6.0,104.0,1001.0,2.0,96.0,1.3,0.5
2024.0,Golega,5488.0,15.4,0.0,6.0,81.0,1224.7,3.0,186.0,17.0,2.6
2024.0,Gondomar,169388.0,9.6,2.6,6.8,5410.0,1222.9,34.0,3256.0,2.0,1.8
2024.0,Gouveia,12301.0,18.7,0.0,4.9,326.0,1098.8,8.0,299.0,2.5,1.9
2024.0,Grandola,14226.0,15.1,0.0,10.0,207.0,1408.7,5.0,714.0,3.7,1.3
2024.0,Guarda,40046.0,13.4,0.0,6.8,993.0,1330.6,13.0,988.0,3.0,1.2
2024.0,Guimaraes,156513.0,8.9,1.8,7.2,6602.0,1179.0,35.0,3032.0,2.2,1.7
2024.0,Horta,14466.0,9.9,8.9,7.7,,1315.4,5.0,448.0,3.2,2.1
2024.0,Idanha-A-Nova,8541.0,25.2,0.0,5.8,415.0,1171.5,8.0,424.0,2.3,0.9
2024.0,Ilhavo,43210.0,9.4,0.0,6.8,1032.0,1403.3,8.0,1466.0,2.1,1.3
2024.0,Lagoa,25535.0,9.8,0.0,8.6,826.0,1264.0,8.0,1126.0,2.9,1.9
2024.0,Lagoa [R.A.A.],15130.0,7.6,0.0,8.7,,1173.0,5.0,670.0,1.1,1.8
2024.0,Lagos,35241.0,10.7,10.5,8.2,1009.0,1185.7,8.0,1490.0,5.1,1.7
2024.0,Lajes Das Flores,1456.0,13.1,0.0,7.6,,1122.0,0.0,21.0,2.1,2.8
2024.0,Lajes Do Pico,4398.0,15.5,26.3,8.6,,1064.6,2.0,51.0,2.7,1.1
2024.0,Lamego,24037.0,13.1,0.0,5.1,1487.0,1123.1,12.0,522.0,3.0,1.7
2024.0,Leiria,136006.0,9.9,0.0,8.0,3211.0,1334.9,33.0,3584.0,3.5,1.8
2024.0,Lisboa,575739.0,11.5,1.7,10.1,18662.0,1985.6,245.0,30853.0,4.9,1.4
2024.0,Loule,75764.0,11.6,6.3,10.6,2000.0,1264.5,15.0,4650.0,2.8,1.4
2024.0,Loures,209877.0,9.8,3.0,11.1,6038.0,1440.3,54.0,6210.0,2.6,1.5
2024.0,Lourinha,28978.0,11.5,0.0,7.9,645.0,1169.6,6.0,793.0,4.1,0.8
2024.0,Lousa,17662.0,11.6,0.0,6.2,516.0,1220.6,5.0,303.0,3.0,2.7
2024.0,Lousada,48652.0,7.8,0.0,7.5,1585.0,1076.2,9.0,962.0,2.6,1.6
2024.0,Macao,6399.0,23.1,0.0,3.9,121.0,1072.8,5.0,215.0,1.6,0.5
2024.0,Macedo De Cavaleiros,14253.0,14.7,0.0,4.4,557.0,1108.0,4.0,364.0,3.4,0.8
2024.0,Machico,19679.0,11.8,24.4,6.3,,1229.7,5.0,475.0,4.5,2.0
2024.0,Madalena,6559.0,11.9,0.0,7.3,,1136.7,2.0,232.0,3.7,3.4
2024.0,Mafra,91248.0,7.3,4.0,8.3,1413.0,1256.0,17.0,2340.0,4.9,1.7
2024.0,Maia,144664.0,8.0,2.0,6.8,3512.0,1524.7,28.0,4048.0,3.2,1.7
2024.0,Mangualde,18766.0,14.8,0.0,6.0,549.0,1342.5,8.0,586.0,4.3,2.3
2024.0,Manteigas,2951.0,12.6,0.0,6.5,52.0,1067.3,2.0,84.0,3.4,0.0
2024.0,Marco De Canaveses,49501.0,9.4,0.0,6.8,2579.0,1087.3,12.0,1173.0,4.1,2.0
2024.0,Marinha Grande,41773.0,10.7,6.7,7.2,1635.0,1515.6,9.0,1258.0,3.3,1.8
2024.0,Marvao,3020.0,18.9,0.0,7.3,51.0,972.4,3.0,62.0,3.3,2.3
2024.0,Matosinhos,181046.0,9.9,3.5,6.4,6200.0,1600.7,37.0,5202.0,2.7,1.7
2024.0,Mealhada,20023.0,11.7,0.0,5.9,385.0,1340.5,7.0,500.0,4.0,1.6
2024.0,Meda,4594.0,17.0,0.0,5.2,51.0,1019.1,1.0,113.0,2.2,0.7
2024.0,Melgaco,7557.0,22.6,0.0,3.8,107.0,1069.4,3.0,317.0,1.8,1.3
2024.0,Mertola,6066.0,21.8,0.0,4.4,148.0,1038.6,2.0,137.0,3.1,0.5
2024.0,Mesao Frio,3449.0,16.4,0.0,3.5,168.0,1029.5,3.0,96.0,6.1,0.9
2024.0,Mira,12720.0,13.8,0.0,6.5,277.0,1144.4,6.0,326.0,1.8,0.8
2024.0,Miranda Do Corvo,12269.0,14.1,0.0,5.6,301.0,1098.0,3.0,205.0,2.5,2.0
2024.0,Miranda Do Douro,6220.0,19.7,0.0,3.2,157.0,1046.2,2.0,187.0,1.3,0.8
2024.0,Mirandela,21344.0,13.4,9.2,5.1,756.0,1135.7,7.0,593.0,2.5,1.5
2024.0,Mogadouro,8169.0,18.9,0.0,6.1,294.0,1045.9,2.0,118.0,3.0,0.6
2024.0,Moimenta Da Beira,9776.0,13.7,14.3,7.2,642.0,1041.0,3.0,294.0,3.1,2.2
2024.0,Moita,70399.0,11.2,3.9,11.0,2704.0,1257.8,16.0,2403.0,3.6,2.0
2024.0,Moncao,18004.0,18.4,0.0,5.8,306.0,1139.3,6.0,329.0,4.1,1.1
2024.0,Monchique,5337.0,17.8,21.7,8.6,113.0,1106.7,3.0,178.0,22.1,1.3
2024.0,Mondim De Basto,6394.0,13.6,0.0,5.3,236.0,976.1,2.0,152.0,4.5,1.2
2024.0,Monforte,3017.0,11.0,0.0,8.6,182.0,1201.1,4.0,65.0,3.0,0.7
2024.0,Montalegre,9100.0,19.4,0.0,3.2,265.0,1054.8,5.0,254.0,0.3,1.2
2024.0,Montemor-O-Novo,15912.0,16.4,0.0,7.5,242.0,1187.0,11.0,536.0,2.6,1.4
2024.0,Montemor-O-Velho,25131.0,13.5,0.0,7.1,563.0,1195.2,11.0,425.0,3.3,1.2
